1;Bayi & Balita;Perlengkapan Ibu, Anak & Bayi;0
2;Buku;Buku, Tiket & Voucher;0
3;Buku & Hiburan;Buku, Tiket & Voucher;0
4;Buku & Majalah;Buku, Tiket & Voucher;0
5;Dapur;Elektronik & Alat Rumah Tangga;0
6;Dekorasi Rumah;Elektronik & Alat Rumah Tangga;0
7;e-coupon & Layanan;Buku, Tiket & Voucher;0
8;Elektronik;Elektronik & Alat Rumah Tangga;0
9;Elektronik Rumah Tangga;Elektronik & Alat Rumah Tangga;0
10;Fashion & Aksesoris;Aksesoris Fashion;0
11;Fashion Anak;Perlengkapan Ibu, Anak & Bayi;0
12;Fashion Anak Perempuan;Fashion Wanita;0
13;Fashion Muslim;Aksesoris Fashion;0
14;Fashion Pria;Fashion Pria;0
15;Fashion Wanita;Fashion Wanita;0
16;Film, Musik & Game;Mainan, Game & Film;0
17;Food;Makanan & Minuman;0
18;Furnitur;Elektronik & Alat Rumah Tangga;0
19;Groceries;Perlengkapan Kantor;0
20;Handphone;Handphone & Tablet;0
21;Handphone & Tablet;Handphone & Tablet;0
22;Hobi;Hobi & Olahraga;0
23;Hobi & Koleksi;Hobi & Olahraga;0
24;"Hobi &amp; Koleksi";Hobi & Olahraga;0
25;Home & Living;Elektronik & Alat Rumah Tangga;0
26;Home Entertainment;Elektronik & Alat Rumah Tangga;0
27;Ibu & Anak;Perlengkapan Ibu, Anak & Bayi;0
28;Ibu & Bayi;Perlengkapan Ibu, Anak & Bayi;0
29;Industrial;Otomotif & Industrial;0
30;Jam Tangan & Perhiasan;Aksesoris Fashion;0
31;Jam Tangan, Kacamata, dan Perhiasan;Aksesoris Fashion;0
32;Kamera;Kamera & Video;0
33;Kamera & Kamera Video;Kamera & Video;0
34;Kamera, Foto & Video;Kamera & Video;0
35;Kamera, Video Kamera & Drone;Kamera & Video;0
36;Kecantikan;Kesehatan & Kecantikan;0
37;Kesehatan;Kesehatan & Kecantikan;0
38;Kesehatan & Kecantikan;Kesehatan & Kecantikan;0
39;Komputer;Komputer & Laptop;0
40;Komputer & Aksesoris;Komputer & Laptop;0
41;Komputer & Laptop;Komputer & Laptop;0
42;Kosmetik;Kesehatan & Kecantikan;0
43;Kuliner;Makanan & Minuman;0
44;Laptop & Aksesoris;Komputer & Laptop;0
45;Mainan & Hobi;Mainan, Game & Film;0
46;Mainan & Video Games;Mainan, Game & Film;0
47;Mainan Anak;Mainan, Game & Film;0
48;Mainan, Buku, & Fancy Stationery;Mainan, Game & Film;0
49;Makanan & Minuman;Makanan & Minuman;0
50;Makanan, Minuman & Sembako;Makanan & Minuman;0
51;Media, Musik & Buku;Buku, Tiket & Voucher;0
52;Mobil, Part dan Aksesoris;Otomotif & Industrial;0
53;Mobile Phone / Smartwatch;Handphone & Tablet;0
54;Motor;Otomotif & Industrial;0
55;Office & Stationery;Perlengkapan Kantor;0
56;Olahraga;Hobi & Olahraga;0
57;Olahraga & Aktivitas Luar Ruang;Hobi & Olahraga;0
58;Olahraga & Outdoor;Hobi & Olahraga;0
59;Otomotif;Otomotif & Industrial;0
60;Pakaian;Aksesoris Fashion;0
61;Pakaian Bayi & Anak;Perlengkapan Ibu, Anak & Bayi;0
62;Pakaian Pria;Fashion Pria;0
63;Pakaian Wanita;Fashion Wanita;0
64;Peralatan & Perlengkapan Kantor;Perlengkapan Kantor;0
65;Peralatan Elektronik;Elektronik & Alat Rumah Tangga;0
66;Peralatan Rumah;Elektronik & Alat Rumah Tangga;0
67;Peralatan Rumah Tangga;Elektronik & Alat Rumah Tangga;0
68;Perawatan & Kecantikan;Kesehatan & Kecantikan;0
69;"Perawatan &amp; Kecantikan";Kesehatan & Kecantikan;0
70;Perawatan Bayi;Perlengkapan Ibu, Anak & Bayi;0
71;Perawatan Pribadi;Kesehatan & Kecantikan;0
72;Perhiasan & Jam;Aksesoris Fashion;0
73;Perlengkapan Anak & Bayi;Perlengkapan Ibu, Anak & Bayi;0
74;Perlengkapan Bayi;Perlengkapan Ibu, Anak & Bayi;0
75;Perlengkapan Bayi & Ibu Hamil Menyusui;Perlengkapan Ibu, Anak & Bayi;0
76;Perlengkapan Kantor;Perlengkapan Kantor;0
77;Perlengkapan Rumah;Elektronik & Alat Rumah Tangga;0
78;Persediaan Hewan Peliharaan;Hobi & Olahraga;0
79;Pria;Fashion Pria;0
80;Rumah Tangga;Elektronik & Alat Rumah Tangga;0
81;Sepatu;Aksesoris Fashion;0
82;Sepeda;Hobi & Olahraga;0
83;Software;Buku, Tiket & Voucher;0
84;Souvenir, Kado & Hadiah;Buku, Tiket & Voucher;0
85;Tablet, Notebook & Desktop;Komputer & Laptop;0
86;Tas & Aksesoris;Aksesoris Fashion;0
87;Tas & Koper;Aksesoris Fashion;0
88;Tiket & Voucher;Buku, Tiket & Voucher;0
89;"Tiket &amp; Voucher";Buku, Tiket & Voucher;0
90;TV, A/V, Permainan & Wearables;Mainan, Game & Film;0
91;TV, Audio & Game;Mainan, Game & Film;0
92;TV, Audio/Video, Permainan & Perangkat Wearable;Elektronik & Alat Rumah Tangga;0
93;Voucher;Buku, Tiket & Voucher;0
94;Voucher & Layanan;Buku, Tiket & Voucher;0
95;Voucher & Layanan, Media, Musik & Buku;Buku, Tiket & Voucher;0
96;Wanita;Fashion Wanita;0
